interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,WI,WI04,49,Disagree,Not Sure,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,VA,VA08,39,Disagree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,VA,VA09,46,Agree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",High school graduate,TX,TX10,75,Disagree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"Less than $14,999",High school graduate,WA,WA05,52,Disagree,Not Asked,45-64 year olds,1,0,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Liberal,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"Less than $14,999",Some college or associate degree,OH,OH04,44,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,MA,MA05,21,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,TX,TX36,38,Agree,Not Sure,30-44 year olds,0,1,Black
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,West,Not Hispanic,White,NA,Some college or associate degree,CA,CA16,69,Disagree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NC,NC07,59,Agree,Not Asked,45-64 year olds,1,0,White
